Date,Open,High,Low,Close,Adj Close,Volume
1996-12-23,30.5,30.5,30.200000762939453,30.299999237060547,14.698805809020996,2100
1996-12-24,30.0,30.399999618530273,29.0,30.399999618530273,14.747316360473633,2100
1996-12-25,30.399999618530273,30.399999618530273,30.399999618530273,30.399999618530273,14.747316360473633,0
1996-12-26,32.900001525878906,33.400001525878906,32.400001525878906,33.0,16.008604049682617,6800
1996-12-27,33.0,33.0,33.0,33.0,16.008604049682617,0
1996-12-30,33.0,33.0,33.0,33.0,16.008604049682617,0
1996-12-31,33.400001525878906,33.400001525878906,32.0,32.25,15.644769668579102,9200
1997-01-01,33.95000076293945,34.54999923706055,32.0,33.70000076293945,16.348176956176758,19400
1997-01-02,34.0,34.599998474121094,33.25,33.75,16.3724365234375,16800
1997-01-03,33.54999923706055,34.25,33.0,33.849998474121094,16.420944213867188,6900
1997-01-06,34.0,34.5,33.5,33.70000076293945,16.348176956176758,4000
1997-01-07,34.20000076293945,36.900001525878906,33.900001525878906,35.0,16.978816986083984,12500
1997-01-08,36.79999923706055,37.0,35.54999923706055,36.25,17.585206985473633,9200
1997-01-09,36.25,36.45000076293945,35.75,36.0,17.46392822265625,3300
1997-01-10,37.25,38.95000076293945,37.0,38.79999923706055,18.822235107421875,14500
1997-01-13,39.5,39.5,37.75,38.45000076293945,18.652450561523438,16400
1997-01-14,39.5,40.0,38.70000076293945,39.95000076293945,19.380111694335938,26700
1997-01-15,41.900001525878906,43.95000076293945,41.75,43.95000076293945,21.320547103881836,24800
1997-01-16,48.25,48.29999923706055,43.04999923706055,43.04999923706055,20.88394546508789,43400
1997-01-17,43.0,43.900001525878906,38.75,40.79999923706055,19.79245376586914,20700
1997-01-20,40.75,41.0,36.849998474121094,37.0,17.949039459228516,10600
1997-01-21,36.75,37.20000076293945,33.29999923706055,33.29999923706055,16.15413475036621,22700
1997-01-22,34.0,36.650001525878906,34.0,36.5,17.706483840942383,17500
1997-01-23,36.5,36.5,36.5,36.5,17.706483840942383,0
1997-01-24,37.5,38.0,36.20000076293945,36.650001525878906,17.77924919128418,12900
1997-01-27,37.599998474121094,38.95000076293945,37.5,38.04999923706055,18.458404541015625,11000
1997-01-28,37.900001525878906,38.45000076293945,36.5,38.04999923706055,18.458404541015625,6500
1997-01-29,39.04999923706055,40.70000076293945,37.5,38.349998474121094,18.60393524169922,23800
1997-01-30,38.95000076293945,38.95000076293945,37.349998474121094,37.5,18.191593170166016,4300
1997-01-31,35.54999923706055,36.5,34.900001525878906,35.099998474121094,17.02733039855957,7100
1997-02-03,32.099998474121094,34.5,32.0,33.29999923706055,16.15413475036621,4700
1997-02-04,32.20000076293945,33.900001525878906,32.20000076293945,33.400001525878906,16.202648162841797,6000
1997-02-05,35.45000076293945,36.20000076293945,34.70000076293945,35.04999923706055,17.003076553344727,8600
1997-02-06,35.70000076293945,35.70000076293945,34.400001525878906,35.150001525878906,17.051589965820312,4800
1997-02-07,35.5,35.5,35.0,35.150001525878906,17.051589965820312,4000
1997-02-10,34.75,35.75,34.75,35.25,17.100099563598633,4300
1997-02-11,35.0,37.95000076293945,35.0,36.45000076293945,17.682226181030273,6600
1997-02-12,36.849998474121094,36.95000076293945,35.75,36.04999923706055,17.488183975219727,3400
1997-02-13,35.79999923706055,35.79999923706055,35.5,35.54999923706055,17.245630264282227,1200
1997-02-14,35.75,35.95000076293945,35.5,35.70000076293945,17.318397521972656,1300
1997-02-17,35.5,35.95000076293945,35.29999923706055,35.95000076293945,17.43967628479004,700
1997-02-18,35.5,35.599998474121094,35.0,35.5,17.221376419067383,5600
1997-02-19,35.25,36.0,34.5,35.70000076293945,17.318397521972656,3100
1997-02-20,35.25,35.75,35.0,35.54999923706055,17.245630264282227,2800
1997-02-21,34.79999923706055,35.25,34.45000076293945,34.45000076293945,16.71200942993164,2200
1997-02-24,33.79999923706055,33.79999923706055,33.0,33.20000076293945,16.10562515258789,2000
1997-02-25,33.5,33.5,32.79999923706055,33.0,16.008604049682617,3600
1997-02-26,33.54999923706055,34.04999923706055,33.0,33.900001525878906,16.44519805908203,1700
1997-02-27,35.45000076293945,36.5,34.29999923706055,36.25,17.585206985473633,3600
1997-02-28,37.0,39.0,35.0,38.54999923706055,18.700956344604492,4700
1997-03-03,41.25,45.0,40.5,41.29999923706055,20.035005569458008,23700
1997-03-04,39.099998474121094,41.29999923706055,39.0,40.95000076293945,19.865222930908203,21100
1997-03-05,42.900001525878906,43.5,41.25,41.29999923706055,20.035005569458008,12000
1997-03-06,41.400001525878906,41.400001525878906,40.0,40.29999923706055,19.549894332885742,5800
1997-03-07,40.29999923706055,40.29999923706055,40.29999923706055,40.29999923706055,19.549894332885742,0
1997-03-10,38.0,38.0,36.29999923706055,36.70000076293945,17.80350685119629,6500
1997-03-11,36.04999923706055,36.5,34.5,34.95000076293945,16.954565048217773,15000
1997-03-12,36.599998474121094,36.70000076293945,35.5,36.5,17.706483840942383,9200
1997-03-13,36.04999923706055,37.150001525878906,36.04999923706055,36.79999923706055,17.85201644897461,2300
1997-03-14,37.20000076293945,37.400001525878906,36.650001525878906,36.650001525878906,17.77924919128418,3100
1997-03-17,36.54999923706055,36.95000076293945,35.0,35.70000076293945,17.318397521972656,2900
1997-03-18,35.95000076293945,36.5,35.25,36.400001525878906,17.657974243164062,4900
1997-03-19,35.650001525878906,36.20000076293945,35.599998474121094,36.0,17.46392822265625,900
1997-03-20,35.20000076293945,36.29999923706055,35.20000076293945,36.0,17.46392822265625,2200
1997-03-21,36.400001525878906,37.0,36.0,36.25,17.585206985473633,2600
1997-03-24,36.25,36.25,36.25,36.25,17.585206985473633,0
1997-03-25,36.0,36.70000076293945,35.70000076293945,36.29999923706055,17.609458923339844,2800
1997-03-26,37.5,37.5,36.29999923706055,37.04999923706055,17.973295211791992,6900
1997-03-27,36.54999923706055,37.099998474121094,36.54999923706055,37.0,17.949039459228516,2900
1997-03-28,37.0,37.0,37.0,37.0,17.949039459228516,0
1997-03-31,34.0,34.349998474121094,33.45000076293945,33.5,16.251157760620117,2800
1997-04-01,32.54999923706055,34.0,32.20000076293945,33.95000076293945,16.46946144104004,7400
1997-04-02,34.25,35.25,34.25,35.25,17.100099563598633,3100
1997-04-03,34.5,36.45000076293945,34.5,36.400001525878906,17.657974243164062,2900
1997-04-04,35.5,35.5,35.25,35.400001525878906,17.172861099243164,1200
1997-04-07,34.54999923706055,35.400001525878906,33.599998474121094,33.849998474121094,16.420944213867188,4400
1997-04-08,33.849998474121094,33.849998474121094,33.849998474121094,33.849998474121094,16.420944213867188,0
1997-04-09,35.5,36.0,34.54999923706055,35.650001525878906,17.29414176940918,7800
1997-04-10,35.20000076293945,35.54999923706055,34.099998474121094,34.099998474121094,16.54222297668457,5800
1997-04-11,33.5,34.900001525878906,33.5,34.599998474121094,16.784778594970703,1900
1997-04-14,34.599998474121094,34.599998474121094,34.599998474121094,34.599998474121094,16.784778594970703,0
1997-04-15,34.54999923706055,34.79999923706055,34.150001525878906,34.400001525878906,16.68775749206543,3200
1997-04-16,34.400001525878906,34.400001525878906,34.400001525878906,34.400001525878906,16.68775749206543,0
1997-04-17,35.0,35.650001525878906,34.70000076293945,35.150001525878906,17.051589965820312,2600
1997-04-18,35.150001525878906,35.150001525878906,35.150001525878906,35.150001525878906,17.051589965820312,0
1997-04-21,35.849998474121094,36.45000076293945,35.5,36.400001525878906,17.657974243164062,4400
1997-04-22,37.29999923706055,37.400001525878906,35.79999923706055,36.5,17.706483840942383,5100
1997-04-23,36.95000076293945,37.349998474121094,36.5,37.150001525878906,18.021806716918945,4200
1997-04-24,36.5,37.099998474121094,36.099998474121094,36.79999923706055,17.85201644897461,7700
1997-04-25,36.5,37.349998474121094,36.5,37.099998474121094,17.997549057006836,4600
